id,record_id,upload_id,gateway_id,node_id,node_type,node_seq,frame_id,measured_at,received_at,rssi,snr,battery_mv,battery_percent,battery_status,soil_temperature_c,soil_moisture_percent,soil_ec_us_cm,soil_ph,soil_salinity,air_temperature_c,air_humidity_percent,air_pressure_hpa,status,raw_payload,created_at,error_code
82470,GW01-MAIN-SOIL-2964280,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964280,2026-05-12 07:45:41+01,2026-05-13 06:29:28.371691+01,,,,,not_measured,20.8,19.1,269,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964280, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964280"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T06:45:41Z"", ""soil_ec_us_cm"": 269, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19.1}",2026-05-13 06:29:28.371691+01,
82473,GW01-MAIN-SOIL-2964281,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964281,2026-05-12 07:55:34+01,2026-05-13 06:29:28.371691+01,,,,,not_measured,20.8,19.1,265,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964281, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964281"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T06:55:34Z"", ""soil_ec_us_cm"": 265, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19.1}",2026-05-13 06:29:28.371691+01,
82476,GW01-MAIN-SOIL-2964282,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964282,2026-05-12 08:05:28+01,2026-05-13 06:29:28.371691+01,,,,,not_measured,20.8,19.1,261,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964282, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964282"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:05:28Z"", ""soil_ec_us_cm"": 261, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19.1}",2026-05-13 06:29:28.371691+01,
82479,GW01-MAIN-SOIL-2964283,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964283,2026-05-12 08:15:20+01,2026-05-13 06:29:28.371691+01,,,,,not_measured,20.8,19.1,258,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964283, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964283"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:15:20Z"", ""soil_ec_us_cm"": 258, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19.1}",2026-05-13 06:29:28.371691+01,
82482,GW01-MAIN-SOIL-2964284,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964284,2026-05-12 08:25:12+01,2026-05-13 06:29:28.371691+01,,,,,not_measured,20.8,19,254,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964284, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964284"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:25:12Z"", ""soil_ec_us_cm"": 254, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19}",2026-05-13 06:29:28.371691+01,
82485,GW01-MAIN-SOIL-2964285,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964285,2026-05-12 08:35:05+01,2026-05-13 06:29:29.926473+01,,,,,not_measured,20.8,19,251,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964285, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964285"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:35:05Z"", ""soil_ec_us_cm"": 251, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19}",2026-05-13 06:29:29.926473+01,
82488,GW01-MAIN-SOIL-2964286,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964286,2026-05-12 08:44:57+01,2026-05-13 06:29:29.926473+01,,,,,not_measured,20.8,19,246,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964286, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964286"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:44:57Z"", ""soil_ec_us_cm"": 246, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19}",2026-05-13 06:29:29.926473+01,
82491,GW01-MAIN-SOIL-2964287,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964287,2026-05-12 08:54:50+01,2026-05-13 06:29:29.926473+01,,,,,not_measured,20.8,19,244,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964287, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964287"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T07:54:50Z"", ""soil_ec_us_cm"": 244, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 19}",2026-05-13 06:29:29.926473+01,
82494,GW01-MAIN-SOIL-2964288,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964288,2026-05-12 09:04:42+01,2026-05-13 06:29:29.926473+01,,,,,not_measured,20.8,18.9,241,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964288, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964288"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:04:42Z"", ""soil_ec_us_cm"": 241, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.9}",2026-05-13 06:29:29.926473+01,
82497,GW01-MAIN-SOIL-2964289,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964289,2026-05-12 09:14:35+01,2026-05-13 06:29:29.926473+01,,,,,not_measured,20.8,18.9,237,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964289, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964289"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:14:35Z"", ""soil_ec_us_cm"": 237, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.9}",2026-05-13 06:29:29.926473+01,
82500,GW01-MAIN-SOIL-2964290,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964290,2026-05-12 09:24:26+01,2026-05-13 06:29:31.477486+01,,,,,not_measured,20.8,18.9,235,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964290, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964290"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:24:26Z"", ""soil_ec_us_cm"": 235, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.9}",2026-05-13 06:29:31.477486+01,
82503,GW01-MAIN-SOIL-2964291,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964291,2026-05-12 09:34:20+01,2026-05-13 06:29:31.477486+01,,,,,not_measured,20.8,18.9,232,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964291, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964291"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:34:20Z"", ""soil_ec_us_cm"": 232, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.9}",2026-05-13 06:29:31.477486+01,
82506,GW01-MAIN-SOIL-2964292,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964292,2026-05-12 09:44:13+01,2026-05-13 06:29:31.477486+01,,,,,not_measured,20.8,18.8,229,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964292, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964292"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:44:13Z"", ""soil_ec_us_cm"": 229, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.8}",2026-05-13 06:29:31.477486+01,
82509,GW01-MAIN-SOIL-2964293,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964293,2026-05-12 09:54:07+01,2026-05-13 06:29:31.477486+01,,,,,not_measured,20.8,18.8,226,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964293, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964293"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T08:54:07Z"", ""soil_ec_us_cm"": 226, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.8}",2026-05-13 06:29:31.477486+01,
82512,GW01-MAIN-SOIL-2964294,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964294,2026-05-12 10:03:58+01,2026-05-13 06:29:31.477486+01,,,,,not_measured,20.8,18.8,223,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964294, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964294"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T09:03:58Z"", ""soil_ec_us_cm"": 223, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.8}",2026-05-13 06:29:31.477486+01,
82515,GW01-MAIN-SOIL-2964295,UPL-GW01-20260513-052903,GW01,MAIN,soil,,2964295,2026-05-12 10:13:52+01,2026-05-13 06:29:32.949455+01,,,,,not_measured,20.8,18.8,220,,,,,,ok,"{""type"": ""reading"", ""status"": ""ok"", ""node_id"": ""MAIN"", ""frame_id"": 2964295, ""node_type"": ""soil"", ""record_id"": ""GW01-MAIN-SOIL-2964295"", ""gateway_id"": ""GW01"", ""measured_at"": ""2026-05-12T09:13:52Z"", ""soil_ec_us_cm"": 220, ""battery_status"": ""not_measured"", ""soil_temperature_c"": 20.8, ""soil_moisture_percent"": 18.8}",2026-05-13 06:29:32.949455+01,
