id,node_id,type,value,unit,metadata,created_at,created_by,agro_event_id,gateway_id,event_category,event_type,target_scope,started_at,ended_at,source,confidence,details,notes,entered_by,updated_at
0f4a0d69-69b5-4a48-a12d-3e2f57a299ef,farm,,,,"{""source"": ""deterministic_demo""}",2026-04-29 17:00:00+01,,NOTE-20260429,GW01,field_note,field_note,farm,2026-04-29 17:00:00+01,,manual,estimated,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": null, ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""NOTE-20260429""}",Field scout noted higher drying on Pivot 2 edge rows; no disease symptoms observed.,demo_seed,
7d57c62b-4ea7-4bc2-8308-e3824b2085bf,MAIN,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-06 06:00:00+01,,IRR-20260406-P1,GW01,irrigation,irrigation_session,pivot_1,2026-04-06 06:00:00+01,2026-04-06 08:30:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""18"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260406-P1""}",Pivot 1 early establishment irrigation,demo_seed,
78d9b16c-957f-4784-ba1d-8f62243a2913,,,,,,2026-05-09 10:26:39.465372+01,,AGRO-1778318799469-M7QFG6,GW01,field_note,field_note,farm,2026-05-09 10:26:38.88+01,,manual,exact,{},Field scout noted higher drying on Pivot 2 edge rows; no disease symptoms observed.,,
4b51afd1-a81d-4192-bd3e-304217086e1c,farm,,,,"{""source"": ""deterministic_demo_continuation""}",2026-05-10 09:15:00+01,,FERT-20260510,GW01,fertilization,fertilization,farm,2026-05-10 09:15:00+01,,manual,exact,"{""dataset"": ""deterministic_demo_2026_05_06_to_2026_05_11_1500"", ""amount_mm"": null, ""rate_kg_ha"": ""35"", ""fertilizer_type"": ""N-balanced"", ""original_event_id"": ""FERT-20260510""}",Light nitrogen-balanced feeding during regrowth period,demo_seed,
0c9e9c32-6309-4d76-ab28-1ec5cdbc4ca1,,,,,,2026-05-15 08:55:27.14647+01,,AGRO-1778831727150-SFCAV0,GW01,irrigation,irrigation_session,both_pivots,2026-05-12 07:00:00+01,2026-05-12 15:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
5004f3b0-9296-4a0f-845f-fd491423081b,,,,,,2026-05-15 08:56:34.205687+01,,AGRO-1778831794207-GST03O,GW01,irrigation,irrigation_session,both_pivots,2026-05-12 15:00:00+01,2026-05-12 17:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 120}",,,
8ff93fcf-ae02-4d54-b64d-fcd6def2474e,MAIN,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-04-19 06:00:00+01,,IRR-20260419-P1,GW01,irrigation,irrigation_session,pivot_1,2026-04-19 06:00:00+01,2026-04-19 08:10:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""17"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260419-P1""}",Irrigation before cutting window,demo_seed,
7b5cd61b-b06c-4804-903c-f114f5741d6e,farm,,,,"{""source"": ""deterministic_demo""}",2026-04-24 09:30:00+01,,FERT-20260424,GW01,fertilization,fertilization,farm,2026-04-24 09:30:00+01,,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": null, ""rate_kg_ha"": ""45"", ""fertilizer_type"": ""K-biased"", ""original_event_id"": ""FERT-20260424""}",Potassium-biased feeding before heat period,demo_seed,
ccd06227-637c-4f2a-b894-f7acaf09dacc,MAIN,,,,"{""source"": ""deterministic_demo"", ""expected_effect"": ""soil_moisture_recovery_6_to_10_percent""}",2026-05-01 05:50:00+01,,IRR-20260501-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-01 05:50:00+01,2026-05-01 08:10:00+01,manual,exact,"{""dataset"": ""deterministic_demo_2026_04_05_to_2026_05_05"", ""amount_mm"": ""16"", ""rate_kg_ha"": null, ""fertilizer_type"": null, ""original_event_id"": ""IRR-20260501-P1""}",Short irrigation before mowing,demo_seed,
551f4c71-904c-4591-ac67-f6b8fba1ea84,,,,,,2026-05-15 08:59:04.658701+01,,AGRO-1778831944632-8XON6G,GW01,irrigation,irrigation_session,both_pivots,2026-05-13 04:00:00+01,2026-05-13 12:00:00+01,manual,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
