id,record_id,upload_id,gateway_id,node_id,node_type,node_seq,frame_id,measured_at,received_at,rssi,snr,battery_mv,battery_percent,battery_status,soil_temperature_c,soil_moisture_percent,soil_ec_us_cm,soil_ph,soil_salinity,air_temperature_c,air_humidity_percent,air_pressure_hpa,status,raw_payload,created_at,error_code
70075,GW01-MAIN-SOIL-4101001,,GW01,MAIN,soil,,4101001,2026-04-11 23:40:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70076,GW01-N3-4101001,,GW01,N3,weather,3,4101001,2026-04-11 23:40:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70077,GW01-N2-SOIL-4101001,,GW01,N2,soil,2,4101001,2026-04-11 23:40:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70078,GW01-MAIN-SOIL-4101002,,GW01,MAIN,soil,,4101002,2026-04-11 23:50:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70079,GW01-N3-4101002,,GW01,N3,weather,3,4101002,2026-04-11 23:50:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70080,GW01-N2-SOIL-4101002,,GW01,N2,soil,2,4101002,2026-04-11 23:50:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70081,GW01-MAIN-SOIL-4101003,,GW01,MAIN,soil,,4101003,2026-04-12 00:00:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70082,GW01-N3-4101003,,GW01,N3,weather,3,4101003,2026-04-12 00:00:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70083,GW01-N2-SOIL-4101003,,GW01,N2,soil,2,4101003,2026-04-12 00:00:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70084,GW01-MAIN-SOIL-4101004,,GW01,MAIN,soil,,4101004,2026-04-12 00:10:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70085,GW01-N3-4101004,,GW01,N3,weather,3,4101004,2026-04-12 00:10:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70086,GW01-N2-SOIL-4101004,,GW01,N2,soil,2,4101004,2026-04-12 00:10:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70087,GW01-MAIN-SOIL-4101005,,GW01,MAIN,soil,,4101005,2026-04-12 00:20:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70088,GW01-N3-4101005,,GW01,N3,weather,3,4101005,2026-04-12 00:20:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70089,GW01-N2-SOIL-4101005,,GW01,N2,soil,2,4101005,2026-04-12 00:20:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70090,GW01-MAIN-SOIL-4101006,,GW01,MAIN,soil,,4101006,2026-04-12 00:30:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70091,GW01-N3-4101006,,GW01,N3,weather,3,4101006,2026-04-12 00:30:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70092,GW01-N2-SOIL-4101006,,GW01,N2,soil,2,4101006,2026-04-12 00:30:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70093,GW01-MAIN-SOIL-4101007,,GW01,MAIN,soil,,4101007,2026-04-12 00:40:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70094,GW01-N3-4101007,,GW01,N3,weather,3,4101007,2026-04-12 00:40:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70095,GW01-N2-SOIL-4101007,,GW01,N2,soil,2,4101007,2026-04-12 00:40:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70096,GW01-MAIN-SOIL-4101008,,GW01,MAIN,soil,,4101008,2026-04-12 00:50:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.2,33.4,938,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70097,GW01-N3-4101008,,GW01,N3,weather,3,4101008,2026-04-12 00:50:00+01,2026-05-06 02:31:47.495071+01,-77,9.4,,,not_measured,,,,,,20.7,85.6,1014.1,ok,,2026-05-06 02:31:47.495071+01,
70098,GW01-N2-SOIL-4101008,,GW01,N2,soil,2,4101008,2026-04-12 00:50:00+01,2026-05-06 02:31:47.495071+01,-95,8.7,3968,83,ok,26.4,31,1173,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70099,GW01-MAIN-SOIL-4101009,,GW01,MAIN,soil,,4101009,2026-04-12 01:00:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70100,GW01-N3-4101009,,GW01,N3,weather,3,4101009,2026-04-12 01:00:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70101,GW01-N2-SOIL-4101009,,GW01,N2,soil,2,4101009,2026-04-12 01:00:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70102,GW01-MAIN-SOIL-4101010,,GW01,MAIN,soil,,4101010,2026-04-12 01:10:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70103,GW01-N3-4101010,,GW01,N3,weather,3,4101010,2026-04-12 01:10:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70104,GW01-N2-SOIL-4101010,,GW01,N2,soil,2,4101010,2026-04-12 01:10:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70105,GW01-MAIN-SOIL-4101011,,GW01,MAIN,soil,,4101011,2026-04-12 01:20:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70106,GW01-N3-4101011,,GW01,N3,weather,3,4101011,2026-04-12 01:20:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70107,GW01-N2-SOIL-4101011,,GW01,N2,soil,2,4101011,2026-04-12 01:20:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70108,GW01-MAIN-SOIL-4101012,,GW01,MAIN,soil,,4101012,2026-04-12 01:30:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70109,GW01-N3-4101012,,GW01,N3,weather,3,4101012,2026-04-12 01:30:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70110,GW01-N2-SOIL-4101012,,GW01,N2,soil,2,4101012,2026-04-12 01:30:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70111,GW01-MAIN-SOIL-4101013,,GW01,MAIN,soil,,4101013,2026-04-12 01:40:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70112,GW01-N3-4101013,,GW01,N3,weather,3,4101013,2026-04-12 01:40:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70113,GW01-N2-SOIL-4101013,,GW01,N2,soil,2,4101013,2026-04-12 01:40:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70114,GW01-MAIN-SOIL-4101014,,GW01,MAIN,soil,,4101014,2026-04-12 01:50:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70115,GW01-N3-4101014,,GW01,N3,weather,3,4101014,2026-04-12 01:50:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70116,GW01-N2-SOIL-4101014,,GW01,N2,soil,2,4101014,2026-04-12 01:50:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70117,GW01-MAIN-SOIL-4101015,,GW01,MAIN,soil,,4101015,2026-04-12 02:00:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70118,GW01-N3-4101015,,GW01,N3,weather,3,4101015,2026-04-12 02:00:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70119,GW01-N2-SOIL-4101015,,GW01,N2,soil,2,4101015,2026-04-12 02:00:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70120,GW01-MAIN-SOIL-4101016,,GW01,MAIN,soil,,4101016,2026-04-12 02:10:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70121,GW01-N3-4101016,,GW01,N3,weather,3,4101016,2026-04-12 02:10:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70122,GW01-N2-SOIL-4101016,,GW01,N2,soil,2,4101016,2026-04-12 02:10:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70123,GW01-MAIN-SOIL-4101017,,GW01,MAIN,soil,,4101017,2026-04-12 02:20:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70124,GW01-N3-4101017,,GW01,N3,weather,3,4101017,2026-04-12 02:20:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
70125,GW01-N2-SOIL-4101017,,GW01,N2,soil,2,4101017,2026-04-12 02:20:00+01,2026-05-06 02:31:47.495071+01,-93,8.5,3956,82,ok,26.8,30.8,1179,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70126,GW01-MAIN-SOIL-4101018,,GW01,MAIN,soil,,4101018,2026-04-12 02:30:00+01,2026-05-06 02:31:47.495071+01,,,,,not_measured,26.6,33.2,944,,,,,,ok,,2026-05-06 02:31:47.495071+01,
70127,GW01-N3-4101018,,GW01,N3,weather,3,4101018,2026-04-12 02:30:00+01,2026-05-06 02:31:47.495071+01,-75,9,,,not_measured,,,,,,21.3,84.9,1013.4,ok,,2026-05-06 02:31:47.495071+01,
