id,event_id,upload_id,gateway_id,node_id,event_type,severity,event_time,received_at,message,details,error_code
1013,IRR-20260406-P1,,GW01,MAIN,irrigation_completed,info,2026-04-06 08:30:00+01,2026-05-06 02:32:02.478724+01,Pivot 1 early establishment irrigation; estimated applied depth 18 mm,,
1014,IRR-20260407-P2,,GW01,N2,irrigation_completed,info,2026-04-07 08:40:00+01,2026-05-06 02:32:02.478724+01,Pivot 2 follow-up irrigation; estimated applied depth 16 mm,,
1015,FERT-20260410,,GW01,farm,fertilization,info,2026-04-10 10:00:00+01,2026-05-06 02:32:02.478724+01,NPK 20-20-20 fertigation after establishment,,
1016,IRR-20260412-P1,,GW01,MAIN,irrigation_completed,info,2026-04-12 08:20:00+01,2026-05-06 02:32:02.478724+01,Pivot 1 replenishment after drying; estimated applied depth 20 mm,,
1017,IRR-20260413-P2,,GW01,N2,irrigation_completed,info,2026-04-13 08:30:00+01,2026-05-06 02:32:02.478724+01,Pivot 2 replenishment after drying; estimated applied depth 19 mm,,
1018,EVT-GW01-20260418-100000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 11:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1019,EVT-20260418-N2-RF,,GW01,N2,rf_degradation,warning,2026-04-18 11:00:00+01,2026-05-06 02:32:02.478724+01,N2 LoRa link degraded; outage window begins.,,LOW_RSSI
1020,EVT-GW01-20260418-110000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 12:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1021,EVT-GW01-20260418-120000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 13:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1022,EVT-GW01-20260418-130000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 14:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1023,EVT-GW01-20260418-140000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 15:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1024,EVT-GW01-20260418-150000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 16:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1025,EVT-GW01-20260418-160000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 17:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1026,EVT-GW01-20260418-170000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 18:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1027,EVT-GW01-20260418-180000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 19:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1028,EVT-GW01-20260418-190000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 20:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1029,EVT-GW01-20260418-200000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 21:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
1030,EVT-GW01-20260418-210000-N2-MISSING,,GW01,N2,node_missing,warning,2026-04-18 22:00:00+01,2026-05-06 02:32:02.478724+01,N2 did not transmit during expected window,,NODE_TIMEOUT
