id,event_id,upload_id,gateway_id,node_id,event_type,severity,event_time,received_at,message,details,error_code
3299,EVT-GW01-20260512-074509-N2-0001,UPL-GW01-20260513-052903,GW01,N2,packet_received,info,2026-05-12 07:45:09+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964280"", ""node_type"": ""soil"", ""record_id"": ""82472""}",
3300,EVT-GW01-20260512-074541-MAIN-0001,UPL-GW01-20260513-052903,GW01,MAIN,packet_received,info,2026-05-12 07:45:41+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964280"", ""node_type"": ""soil"", ""record_id"": ""82470""}",
3301,EVT-GW01-20260512-074541-N3-0001,UPL-GW01-20260513-052903,GW01,N3,packet_received,info,2026-05-12 07:45:41+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964280"", ""node_type"": ""weather"", ""record_id"": ""82471""}",
3302,EVT-GW01-20260512-075503-N2-0001,UPL-GW01-20260513-052903,GW01,N2,packet_received,info,2026-05-12 07:55:03+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964281"", ""node_type"": ""soil"", ""record_id"": ""82475""}",
3303,EVT-GW01-20260512-075534-MAIN-0001,UPL-GW01-20260513-052903,GW01,MAIN,packet_received,info,2026-05-12 07:55:34+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964281"", ""node_type"": ""soil"", ""record_id"": ""82473""}",
3304,EVT-GW01-20260512-075534-N3-0001,UPL-GW01-20260513-052903,GW01,N3,packet_received,info,2026-05-12 07:55:34+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964281"", ""node_type"": ""weather"", ""record_id"": ""82474""}",
3305,EVT-GW01-20260512-080457-N2-0001,UPL-GW01-20260513-052903,GW01,N2,packet_received,info,2026-05-12 08:04:57+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964282"", ""node_type"": ""soil"", ""record_id"": ""82478""}",
3306,EVT-GW01-20260512-080527-N3-0001,UPL-GW01-20260513-052903,GW01,N3,packet_received,info,2026-05-12 08:05:27+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964282"", ""node_type"": ""weather"", ""record_id"": ""82477""}",
3307,EVT-GW01-20260512-080528-MAIN-0001,UPL-GW01-20260513-052903,GW01,MAIN,packet_received,info,2026-05-12 08:05:28+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964282"", ""node_type"": ""soil"", ""record_id"": ""82476""}",
3308,EVT-GW01-20260512-081449-N2-0001,UPL-GW01-20260513-052903,GW01,N2,packet_received,info,2026-05-12 08:14:49+01,2026-05-13 06:29:28.371691+01,Sensor packet received.,"{""status"": ""ok"", ""frame_id"": ""2964283"", ""node_type"": ""soil"", ""record_id"": ""82481""}",
