id,upload_id,gateway_id,started_at,finished_at,received_at,source,records_count,events_count,status,notes,raw_summary,created_at
339,UPL-GW01-20260513-052903,GW01,2026-05-12 07:45:09+01,2026-05-13 00:53:02+01,2026-05-13 00:53:02+01,,313,315,completed,,"{""events_count"": 315, ""records_count"": 313}",2026-05-13 00:53:02+01
340,UPL-GW01-20260513-052957,GW01,2026-05-13 01:02:01+01,2026-05-13 06:27:48+01,2026-05-13 06:27:48+01,,100,103,completed,,"{""events_count"": 103, ""records_count"": 100}",2026-05-13 06:27:48+01
341,UPL-GW01-20260515-045405,GW01,2026-05-13 06:36:38+01,2026-05-13 07:46:25+01,2026-05-13 07:46:25+01,,14,15,completed,,"{""events_count"": 15, ""records_count"": 14}",2026-05-13 07:46:25+01
342,UPL-GW01-20260515-045410,GW01,2026-05-14 06:50:09+01,2026-05-15 00:56:26+01,2026-05-15 00:56:26+01,,211,211,completed,,"{""events_count"": 211, ""records_count"": 211}",2026-05-15 00:56:26+01
343,UPL-GW01-20260515-052456,GW01,2026-05-15 01:06:17+01,2026-05-15 06:02:31+01,2026-05-15 06:02:31+01,,68,69,completed,,"{""events_count"": 69, ""records_count"": 68}",2026-05-15 06:02:31+01
344,UPL-GW01-20260516-045501,GW01,2026-05-15 06:32:03+01,2026-05-16 00:58:26+01,2026-05-16 00:58:26+01,,337,339,completed,,"{""events_count"": 339, ""records_count"": 337}",2026-05-16 00:58:26+01
345,UPL-GW01-20260516-045542,GW01,2026-05-16 01:07:48+01,2026-05-16 05:54:49+01,2026-05-16 05:54:49+01,,90,90,completed,,"{""events_count"": 90, ""records_count"": 90}",2026-05-16 05:54:49+01
346,UPL-GW01-20260517-071537,GW01,2026-05-16 06:03:39+01,2026-05-16 21:51:46+01,2026-05-16 21:51:46+01,,197,197,completed,,"{""events_count"": 197, ""records_count"": 197}",2026-05-16 21:51:46+01
347,UPL-GW01-20260517-071636,GW01,2026-05-17 06:19:55+01,2026-05-17 08:03:03+01,2026-05-17 08:03:03+01,,6,6,completed,,"{""events_count"": 6, ""records_count"": 6}",2026-05-17 08:03:03+01
348,UPL-GW01-20260518-054620,GW01,2026-05-17 08:21:06+01,2026-05-18 00:57:12+01,2026-05-18 00:57:12+01,,213,217,completed,,"{""events_count"": 217, ""records_count"": 213}",2026-05-18 00:57:12+01
349,UPL-GW01-20260518-054655,GW01,2026-05-18 01:07:03+01,2026-05-18 06:42:29+01,2026-05-18 06:42:29+01,,86,86,completed,,"{""events_count"": 86, ""records_count"": 86}",2026-05-18 06:42:29+01
350,UPL-GW01-20260519-051119,GW01,2026-05-18 08:20:27+01,2026-05-19 00:51:13+01,2026-05-19 00:51:13+01,,220,221,completed,,"{""events_count"": 221, ""records_count"": 220}",2026-05-19 00:51:13+01
351,UPL-GW01-20260520-053640,GW01,2026-05-19 06:17:20+01,2026-05-20 00:43:03+01,2026-05-20 00:43:03+01,,235,237,completed,,"{""events_count"": 237, ""records_count"": 235}",2026-05-20 00:43:03+01
352,UPL-GW01-20260520-053717,GW01,2026-05-20 06:35:43+01,2026-05-20 06:35:43+01,2026-05-20 06:35:43+01,,2,2,completed,,"{""events_count"": 2, ""records_count"": 2}",2026-05-20 06:35:43+01
353,UPL-GW01-20260521-045053,GW01,2026-05-20 06:44:51+01,2026-05-20 18:36:09+01,2026-05-20 18:36:09+01,,201,205,completed,,"{""events_count"": 205, ""records_count"": 201}",2026-05-20 18:36:09+01
1,UPL-GW01-20260523-053451,GW01,2026-05-23 06:34:51+01,,2026-05-23 06:35:46.232398+01,esp32,0,0,received,,"{""events_count"": 10, ""readings_count"": 13}",2026-05-23 06:35:46.232398+01
5,UPL-GW01-20260523-053458,GW01,2026-05-23 06:34:58+01,,2026-05-23 06:35:52.246715+01,esp32,0,0,received,,"{""events_count"": 6, ""readings_count"": 3}",2026-05-23 06:35:52.246715+01
6,UPL-GW01-20260524-064321,GW01,2026-05-24 07:43:21+01,,2026-05-24 07:43:30.058471+01,esp32,0,0,received,,"{""events_count"": 10, ""readings_count"": 7}",2026-05-24 07:43:30.058471+01
30,UPL-GW01-20260524-064358,GW01,2026-05-24 07:43:58+01,,2026-05-24 07:44:06.725505+01,esp32,0,0,received,,"{""events_count"": 10, ""readings_count"": 13}",2026-05-24 07:44:06.725505+01
